DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Ano 1º Sintoma(s)
Ano 1º Sintoma(s): 2019, 2020, 2021, 2022, 2023, 2024
Período:2019-2024
"Município de notificação";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"355590 URU";15;-;9;3;52;20;99
"355600 URUPES";126;109;6;73;20;367;701
"355610 VALENTIM GENTIL";266;213;51;265;11;710;1516
"355620 VALINHOS";361;91;220;1214;638;6175;8699
"355630 VALPARAISO";337;1400;608;272;90;142;2849
"355635 VARGEM";-;3;-;-;5;599;607
"355640 VARGEM GRANDE DO SUL";420;204;55;7;250;3259;4195
"355645 VARGEM GRANDE PAULISTA";13;4;3;8;4;1919;1951
"355650 VARZEA PAULISTA";665;31;56;728;396;3155;5031
"355660 VERA CRUZ";97;261;16;996;42;476;1888
"355670 VINHEDO";285;39;32;188;185;4845;5574
"355680 VIRADOURO";297;27;4;287;1522;858;2995
"355690 VISTA ALEGRE DO ALTO";266;29;18;141;375;722;1551
"355695 VITORIA BRASIL";57;143;170;83;11;13;477
"355700 VOTORANTIM";91;128;174;385;2116;5770;8664
"355710 VOTUPORANGA";6594;9230;1237;10466;1208;12799;41534
"355715 ZACARIAS";75;12;19;124;1;5;236
"355720 CHAVANTES";159;15;11;113;149;549;996
"355730 ESTIVA GERBI";307;20;5;53;168;83;636
"Total";441690;204183;157762;349974;336971;2177859;3668439
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados
 pelo CGARB (Coordenação Geral de Vigilância de Arboviroses - CGARB) em sua série histórica, que para tal, realiza análise ano a ano, com a base congelada
 para cada ano analisado.
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com
 sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (laboratorial e clínico-epidemiológico).
 A partir de 2020 o estado do Espírito Santo passou a utilizar o sistema e-SUS Vigilância em Saúde. Portanto, para os casos de Arboviroses urbanas do Espírito
 Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiológica, em cada período pode apresentar notificações com data
 de notificação do ano anterior (semana epidemiológica 52 ou 53) e posterior (semana epidemiológica 01).
 Para cálculo da incidência recomenda-se utilizar locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 25/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020 às 12:00 horas, incluídos os dados do ES em 09/08/2023.
 Dados de 2020 atualizados em 28/07/2021 às 03:00 horas, incluídos os dados do ES em 09/08/2023.
 Dados de 2021 atualizados em 12/07/2022 às 03:00 horas, incluídos os dados do ES em 30/03/2026.
 Dados de 2022 atualizados em 18/07/2023 às 03:00 horas, incluídos os dados do ES em 09/08/2023.
 Dados de 2023 atualizados em 04/06/2024 às 11:30 horas, incluídos os dados do ES em 04/06/2024.
